------------------------------
Process Logger :Tue Nov 29 04:24:45 2022
------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 4672, 'username': None, 'name': 'RtkAudUService64.exe'}
{'pid': 4736, 'username': None, 'name': 'svchost.exe'}
{'pid': 4816, 'username': None, 'name': 'svchost.exe'}
{'pid': 4828, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'svchost.exe'}
{'pid': 4892, 'username': None, 'name': 'mongod.exe'}
{'pid': 4908, 'username': None, 'name': 'svchost.exe'}
{'pid': 5040, 'username': None, 'name': 'LMS.exe'}
{'pid': 5096, 'username': None, 'name': 'svchost.exe'}
{'pid': 5112, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'conhost.exe'}
{'pid': 5968, 'username': None, 'name': 'svchost.exe'}
{'pid': 6032, 'username': None, 'name': 'svchost.exe'}
{'pid': 6352, 'username': None, 'name': 'svchost.exe'}
{'pid': 6424, 'username': None, 'name': 'NisSrv.exe'}
{'pid': 6820, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'SynTPEnh.exe'}
{'pid': 6852, 'username': None, 'name': 'svchost.exe'}
{'pid': 7044, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'taskhostw.exe'}
{'pid': 7304, 'username': None, 'name': 'svchost.exe'}
{'pid': 7356, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'Code.exe'}
{'pid': 7360, 'username': None, 'name': 'SgrmBroker.exe'}
{'pid': 7404, 'username': None, 'name': 'dwm.exe'}
{'pid': 7484, 'username': None, 'name': 'svchost.exe'}
{'pid': 7536, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'ShellExperienceHost.exe'}
{'pid': 7672, 'username': None, 'name': 'audiodg.exe'}
{'pid': 7680, 'username': None, 'name': 'SearchFilterHost.exe'}
{'pid': 7852, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'msedgewebview2.exe'}
{'pid': 7888, 'username': None, 'name': 'svchost.exe'}
{'pid': 7992, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'RuntimeBroker.exe'}
{'pid': 8116, 'username': None, 'name': 'svchost.exe'}
{'pid': 8172, 'username': None, 'name': 'dasHost.exe'}
{'pid': 8248, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'conhost.exe'}
{'pid': 8440, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'Code.exe'}
{'pid': 8588, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'msedge.exe'}
{'pid': 8600, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'crashpad_handler.exe'}
{'pid': 8684, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'ApplicationFrameHost.exe'}
{'pid': 8780, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'WebCompanion.exe'}
{'pid': 8848, 'username': None, 'name': 'svchost.exe'}
{'pid': 8948, 'username': None, 'name': 'fodhelper.exe'}
{'pid': 9036, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'RuntimeBroker.exe'}
{'pid': 9048, 'username': None, 'name': 'svchost.exe'}
{'pid': 9100, 'username': None, 'name': 'SearchIndexer.exe'}
